Resource Name	Resource Description	Data Description	Association	Attribute	Attribute Class	Number of Genes	Number of Attributes	Resource URL	Data URL	Readme URL	Download Date	PMID	Citation	Notes	Directory	Attribute Table	Edge List	Gene-set Library	Attribute-set Library	Gene Similarity Matrix	Attribute Similarity Matrix	Gene List	Attribute List	Script
Human Protein Atlas (HPA) Tissue mRnotspecified	The Human Protein Atlas is a database of protein expression measured by immunohistochemistry (semi-quantitative) and gene expression measured by Rnotspecified-seq for many human tissues and cell lines.	mRnotspecified expression profiles for tissues measured by Rnotspecified-seq	gene-tissue associations by differential expression of gene across tissues	tissue	tissue or cell line	17426	31	http://www.proteinatlas.org/	http://www.sciencemag.org/content/suppl/2015/01/21/347.6220.1260419.DC1/1260419__Excel_TablesS1-S18.xlsx;http://www.proteinatlas.org/download/rna.csv.zip	http://www.sciencemag.org/content/suppl/2015/01/21/347.6220.1260419.DC1/1260419_Uhlen.SM.pdf;http://www.proteinatlas.org/about/download	notspecified	25613900	Uhlen, M., Fagerberg, L., Hallstrom, B. M., Lindskog, C., Oksvold, P., Mardinoglu, A., Sivertsson, A., Kampf, C., Sjostedt, E., Asplund, A., Olsson, I., Edlund, K.,Lundberg, E., Navani, S., Szigyarto, C. A., Odeberg, J., Djureinovic, D., Takanen, J. O., Hober, S., Alm, T., Edqvist, P. H., Berling, H., Tegel, H., Mulder, J., Rockberg, J., Nilsson, P., Schwenk, J. M., Hamsten, M., von Feilitzen, K., Forsberg, M., Persson, L., Johansson, F., Zwahlen, M., von Heijne, G., Nielsen, J. and F. Ponten. (2015) Tissue-based map of the human proteome. Science. 347:1260419.	Supplementary Table 1 from the publication supplementary data file	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Human Protein Atlas (HPA) Tissue Sample mRnotspecified	The Human Protein Atlas is a database of protein expression measured by immunohistochemistry (semi-quantitative) and gene expression measured by Rnotspecified-seq for many human tissues and cell lines.	mRnotspecified expression profiles for tissue samples measured by Rnotspecified-seq	gene-tissue sample associations by differential expression of gene across tissue samples	tissue sample	tissue or cell line	16658	121	http://www.proteinatlas.org/	http://www.sciencemag.org/content/suppl/2015/01/21/347.6220.1260419.DC1/1260419__Excel_TablesS1-S18.xlsx	http://www.sciencemag.org/content/suppl/2015/01/21/347.6220.1260419.DC1/1260419_Uhlen.SM.pdf;http://www.proteinatlas.org/about/download	notspecified	25613900	Uhlen, M., Fagerberg, L., Hallstrom, B. M., Lindskog, C., Oksvold, P., Mardinoglu, A., Sivertsson, A., Kampf, C., Sjostedt, E., Asplund, A., Olsson, I., Edlund, K.,Lundberg, E., Navani, S., Szigyarto, C. A., Odeberg, J., Djureinovic, D., Takanen, J. O., Hober, S., Alm, T., Edqvist, P. H., Berling, H., Tegel, H., Mulder, J., Rockberg, J., Nilsson, P., Schwenk, J. M., Hamsten, M., von Feilitzen, K., Forsberg, M., Persson, L., Johansson, F., Zwahlen, M., von Heijne, G., Nielsen, J. and F. Ponten. (2015) Tissue-based map of the human proteome. Science. 347:1260419.	Supplementary Table 18 from the publication supplementary data file	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Human Protein Atlas (HPA) Tissue IHC	The Human Protein Atlas is a database of protein expression measured by immunohistochemistry (semi-quantitative) and gene expression measured by Rnotspecified-seq for many human tissues and cell lines.	semiquantitative protein expression profiles for tissues measured by immunohistochemistry	gene-tissue associations by differential expression of protein across tissues	tissue	tissue or cell line	15706	44	http://www.proteinatlas.org/	http://www.proteinatlas.org/download/normal_tissue.csv.zip	http://www.proteinatlas.org/about/download	notspecified	25613900	Uhlen, M., Fagerberg, L., Hallstrom, B. M., Lindskog, C., Oksvold, P., Mardinoglu, A., Sivertsson, A., Kampf, C., Sjostedt, E., Asplund, A., Olsson, I., Edlund, K.,Lundberg, E., Navani, S., Szigyarto, C. A., Odeberg, J., Djureinovic, D., Takanen, J. O., Hober, S., Alm, T., Edqvist, P. H., Berling, H., Tegel, H., Mulder, J., Rockberg, J., Nilsson, P., Schwenk, J. M., Hamsten, M., von Feilitzen, K., Forsberg, M., Persson, L., Johansson, F., Zwahlen, M., von Heijne, G., Nielsen, J. and F. Ponten. (2015) Tissue-based map of the human proteome. Science. 347:1260419.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Comparative Toxicogenomics Database (CTD) Chemicals	database of curated chemical-gene, chemical-disease, and gene-disease interactions	chemical-gene interactions by manual literature curation	gene-chemical associations by manual literature curation	chemical	small molecule	notspecified	notspecified	http://ctdbase.org/	http://ctdbase.org/reports/CTD_chem_gene_ixns.tsv.gz	http://ctdbase.org/downloads/;http://ctdbase.org/reports/CTD_chem_gene_ixn_types.tsv	notspecified	25326323	Davis, A. P., Grondin, C. J., Lennon-Hopkins, K., Saraceni-Richards, C., Sciaky, D., King, B. L., Wiegers, T. C. and C. J. Mattingly. (2015) The Comparative Toxicogenomics Database's 10th year anniversary: update 2015. Nucleic Acids Res. 43:D914-D920.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Comparative Toxicogenomics Database (CTD) Diseases	database of curated chemical-gene, chemical-disease, and gene-disease interactions	disease genes from manual literature curation	gene-disease associations by manual literature curation	disease	phenotype	notspecified	notspecified	http://ctdbase.org/	http://ctdbase.org/reports/CTD_genes_diseases.tsv.gz	http://ctdbase.org/downloads/	notspecified	25326323	Davis, A. P., Grondin, C. J., Lennon-Hopkins, K., Saraceni-Richards, C., Sciaky, D., King, B. L., Wiegers, T. C. and C. J. Mattingly. (2015) The Comparative Toxicogenomics Database's 10th year anniversary: update 2015. Nucleic Acids Res. 43:D914-D920.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Gene Reference Into Function (GeneRIF)	Gene Reference Into Function is a gene annotation project of the National Library of Medicine, available through the Entrez Gene website of the National Center for Biotechnology Information.  A GeneRIF is a short (425 characters or less) statement describing a function of a gene.  Each GeneRIF is tagged with the Entrez Gene ID of the described gene and the PubMed ID of the reference supporting the asserted function.	curated statements describing functions of genes distilled from biomedical publications	gene-word associations from literature-supported statements describing functions of genes	word	functional phrase	notspecified	notspecified	ftp://ftp.ncbi.nih.gov/gene/GeneRIF/	ftp://ftp.ncbi.nih.gov/gene/GeneRIF/generifs_basic.gz	ftp://ftp.ncbi.nih.gov/gene/README	notspecified	14728215	Mitchell, J. A. et al. (2003) Gene indexing: characterization and analysis of NLM's GeneRIFs. AMIA Annu Symp Proc. 2003:460-464.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Online Mendelian Inheritance in Man (OMIM)	Online Mendelian Inheritance in Man is a database of human phenotypes (e.g. diseases) with known genetic basis.  Each entry in OMIM summarizes the current state of knowledge about a gene or phenotype, with a focus on inheritance.  Genotype/phenotype associations are summarized in a document called the Morbid Map, which lists phenotypes alongside the genes that have mutations known to play a role in manifestation of the phenotype.	heritable diseases and other traits with known disease- or trait-causing gene mutations curated from biomedical publications	gene-phenotype associations by curation of literature for disease- or phenotype-causing gene mutations	phenotype	phenotype	notspecified	notspecified	http://www.omim.org/	see notes	http://www.omim.org/downloads	notspecified	21472891	Amberger, J. et al. (2011) A new face and new challenges for Online Mendelian Inheritance in Man (OMIM(R)). Human Mutation. 32:564-567.	must register for access	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Allen Brain Atlas Mouse Adult ISH	The Allen Brain Atlas is a database of anatomic and gene expression data for the brain.	mRnotspecified expression profiles for adult mouse brain tissues measured by in-situ hybridization spanning ~2000 anatomically defined brain structures	gene-tissue associations by differential expression of gene across brain tissues	tissue	tissue or cell line	14248	2232	http://www.brain-map.org/	see notes	http://help.brain-map.org/display/mousebrain/API;http://help.brain-map.org//display/api/Quantified+Data+by+Structures;http://help.brain-map.org/display/api/Allen+Brain+Atlas+API	notspecified	17151600;19826436;23041053;23193282	Lein, E. S. et al. (2007) Genome-wide atlas of gene expression in the adult mouse brain. Nature. 445:168-176.;Jones, A. R., Overly, C. C. and S. M. Sunkin. (2009) The Allen Brain Atlas: 5 years and beyond. Nat Rev Neruosci. 10:821-828.; Shen, E. H., Overly, C. C. and A. R. Jones. (2012) The Allen Human Brain Atlas: comprehensive gene expression mapping of the human brain. Trends Neurosci. 35:711-714.;Sunkin, S. M., Ng, L., Lau, C., Dolbeare, T., Gilbert, T. L., Thompson, C. L., Hawrylycz, M. and C. Dang. (2013) Allen Brain Atlas: an integrated spatio-temporal portal for exploring the central nervous system.	data were downloaded using the brain atlas api	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Allen Brain Atlas Human Developmental Time Course Rnotspecified-seq	The Allen Brain Atlas is a database of anatomic and gene expression data for the brain.	mRnotspecified expression profiles for human brain tissue samples measured by Rnotspecified-seq spanning 31 time points and 26 brain structures	gene-tissue sample associations by differential expression of gene across tissue samples	tissue sample	tissue or cell line	notspecified	notspecified	http://www.brainspan.org/	http://www.brainspan.org/api/v2/well_known_file_download/267666525	http://www.brainspan.org/static/download.html;http://help.brain-map.org/download/attachments/3506181/Transcriptome_Profiling.pdf?version=1&modificationDate=1382036562736	notspecified	19826436;23041053;23193282	Jones, A. R., Overly, C. C. and S. M. Sunkin. (2009) The Allen Brain Atlas: 5 years and beyond. Nat Rev Neruosci. 10:821-828.; Shen, E. H., Overly, C. C. and A. R. Jones. (2012) The Allen Human Brain Atlas: comprehensive gene expression mapping of the human brain. Trends Neurosci. 35:711-714.;Sunkin, S. M., Ng, L., Lau, C., Dolbeare, T., Gilbert, T. L., Thompson, C. L., Hawrylycz, M. and C. Dang. (2013) Allen Brain Atlas: an integrated spatio-temporal portal for exploring the central nervous system.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Allen Brain Atlas Human Developmental Time Course Microarray	The Allen Brain Atlas is a database of anatomic and gene expression data for the brain.	mRnotspecified expression profiles for human brain tissue samples measured by microarray spanning 27 time points and 26 brain structures	gene-tissue sample associations by differential expression of gene across tissue samples	tissue sample	tissue or cell line	notspecified	notspecified	http://www.brainspan.org/	http://www.brainspan.org/api/v2/well_known_file_download/267666527	http://www.brainspan.org/static/download.html;http://help.brain-map.org/download/attachments/3506181/Transcriptome_Profiling.pdf?version=1&modificationDate=1382036562736	notspecified	19826436;23041053;23193282	Jones, A. R., Overly, C. C. and S. M. Sunkin. (2009) The Allen Brain Atlas: 5 years and beyond. Nat Rev Neruosci. 10:821-828.; Shen, E. H., Overly, C. C. and A. R. Jones. (2012) The Allen Human Brain Atlas: comprehensive gene expression mapping of the human brain. Trends Neurosci. 35:711-714.;Sunkin, S. M., Ng, L., Lau, C., Dolbeare, T., Gilbert, T. L., Thompson, C. L., Hawrylycz, M. and C. Dang. (2013) Allen Brain Atlas: an integrated spatio-temporal portal for exploring the central nervous system.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Allen Brain Atlas Human Prenatal Microarray	The Allen Brain Atlas is a database of anatomic and gene expression data for the brain.	mRnotspecified expression profiles for 4 human prenatal brain tissue samples measured by microarray spanning 4 time points and ~300 brain structures	gene-tissue sample associations by differential expression of gene across tissue samples	tissue sample	tissue or cell line	notspecified	notspecified	http://www.brainspan.org/	http://www.brainspan.org/api/v2/well_known_file_download/278442900;http://www.brainspan.org/api/v2/well_known_file_download/278444085;http://www.brainspan.org/api/v2/well_known_file_download/278444090;http://www.brainspan.org/api/v2/well_known_file_download/278444094	http://www.brainspan.org/static/download.html;http://help.brain-map.org/download/attachments/3506181/Prenatal_LMD_Microarray.pdf?version=1&modificationDate=1348698086255	notspecified	24695229;19826436;23041053;23193282	Miller, J. A. et al. (2014) Transcriptional landscape of the prenatal human brain. Nature. 508:199-206.;Jones, A. R., Overly, C. C. and S. M. Sunkin. (2009) The Allen Brain Atlas: 5 years and beyond. Nat Rev Neruosci. 10:821-828.; Shen, E. H., Overly, C. C. and A. R. Jones. (2012) The Allen Human Brain Atlas: comprehensive gene expression mapping of the human brain. Trends Neurosci. 35:711-714.;Sunkin, S. M., Ng, L., Lau, C., Dolbeare, T., Gilbert, T. L., Thompson, C. L., Hawrylycz, M. and C. Dang. (2013) Allen Brain Atlas: an integrated spatio-temporal portal for exploring the central nervous system.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Allen Brain Atlas Human Adult Microarray	The Allen Brain Atlas is a database of anatomic and gene expression data for the brain.	mRnotspecified expression profiles for 6 adult human brain tissue samples measured by microarray spanning ~300 brain structures	gene-tissue sample associations by differential expression of gene across tissue samples	tissue sample	tissue or cell line	notspecified	notspecified	http://human.brain-map.org/	http://human.brain-map.org/api/v2/well_known_file_download/178238387;http://human.brain-map.org/api/v2/well_known_file_download/178238373;http://human.brain-map.org/api/v2/well_known_file_download/178238359;http://human.brain-map.org/api/v2/well_known_file_download/178238316;http://human.brain-map.org/api/v2/well_known_file_download/178238266;http://human.brain-map.org/api/v2/well_known_file_download/178236545	http://help.brain-map.org/display/humanbrain/Documentation	notspecified	22996553;19826436;23041053;23193282	Hawrylycz, M. J. et al. (2012) An anatomically comprehensive atlas of the adult human brain transcriptome. Nature. 489:391-399.;Jones, A. R., Overly, C. C. and S. M. Sunkin. (2009) The Allen Brain Atlas: 5 years and beyond. Nat Rev Neruosci. 10:821-828.; Shen, E. H., Overly, C. C. and A. R. Jones. (2012) The Allen Human Brain Atlas: comprehensive gene expression mapping of the human brain. Trends Neurosci. 35:711-714.;Sunkin, S. M., Ng, L., Lau, C., Dolbeare, T., Gilbert, T. L., Thompson, C. L., Hawrylycz, M. and C. Dang. (2013) Allen Brain Atlas: an integrated spatio-temporal portal for exploring the central nervous system.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Heiser	Heiser et al. have collected gene expression, genotype, and drug sensitivity data for 49 breast cancer cell lines.	mRnotspecified expression profiles for breast cancer cell lines measured by microarray	gene-cell line associations by differential expression of gene across cell lines	cell line	tissue or cell line	notspecified	notspecified	http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-181/	http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-181/E-MTAB-181.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-181/E-MTAB-181.idf.txt;http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-181/E-MTAB-181.sdrf.txt	notspecified	22003129	Heiser, L. M. et al. (2012) Subtype and pathway specific responses to anticancer compounds in breast cancer. Proceedings of the National Academy of Sciences of the United States of America. 109:2724-2729.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Nuclear Receptor Signaling Atlas (NURSA) IP-MS	The Nuclear Receptor Signaling Atlas is a knowledgebase for nuclear receptors, their ligands, and coregulators.  NURSA hosts a high content proteomics dataset consisting of 3000 immuno-precipitations followed by mass spectrometry.  This dataset is essentially a gene-set library where each term is a pulled-down protein, which is associated with a set of co-precipitated proteins.  Each immuno-precipitation provides a snapshot of the proteins interacting directly or indirectly in a complex or complexes with the pulled-down protein.	proteins identified by mass spectrometry in complexes isolated from cultured cells by immuno-precipitation	gene-gene associations by mass spectrometry-based identification of protein A in complex isolated by immuno-precipitation of protein B	gene	gene	notspecified	notspecified	http://www.nursa.org/nursa/index.jsf	http://www.sciencedirect.com/science/MiamiMultiMediaURL/1-s2.0-S0092867411005320/1-s2.0-S0092867411005320-mmc1.xls/272196/FULL/S0092867411005320/340a6aa086272fd1d492a1e19a9b412b/mmc1.xls;http://www.sciencedirect.com/science/MiamiMultiMediaURL/1-s2.0-S0092867411005320/1-s2.0-S0092867411005320-mmc2.xls/272196/FULL/S0092867411005320/1abd8960d2caecdf38c60de1b0a08cdc/mmc2.xls	http://www.nursa.org/nursa/datasets/dataset.jsf?doi=10.1621/datasets.06003	notspecified	21620140	Malovannaya, A. et al. (2011) Analysis of the human endogenous coregulator complexome. Cell. 145:787-799.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Universal Protein Resource (Uniprot) Interpro Domains	The Universal Protein Resource is a knowledgebase for proteins, including protein sequences, structural annotations, and functional annotations.	protein domains predicted for gene products based on sequence similarity to known domain signatures drawn from supporting databases of protein domains such as PROSITE, Pfam, SMART, PANTHER, etc.	gene-protein domain associations by sequence similarity to domain signatures	protein domain	structural feature	18002	11015	http://www.uniprot.org/	http://www.uniprot.org/uniprot/?query=organism%3A%22Homo+sapiens+%5B9606%5D%22+AND+%22complete+proteome%22&sort=score	http://www.uniprot.org/help/domain	20150324	25348405;25428371	UniProt Consortium. (2015) UniProt: a hub for protein information. Nucleic Acids Res. 43:D204-212;Mitchell, A. et al. (2015) The InterPro protein families database: the classification resource after 15 years. Nucleic Acids Res. 43:D213-221.	from search bar, go to advanced search, select organism as first filter and choose homo sapiens then select all as second filter and type complete proteome, after getting results, at left column, filter for just Reviewed, Swiss-Prot entries (~20,000), then at top of table, click the columns button, expand the Family and domain section and check Interpro, then return to the results table and download the table to a text file, filter results for entries that have an InterPro domain annotation	interpro	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Genotype Tissue Expression (GTEx) eQTL	The Genotype-Tissue Expression project is a genome mapping project that seeks to discover expression quantitative trait loci in the human genome.  Expression quantitative trait loci (eQTL) are regions of the genome where Dnotspecified sequence variation is correlated with variation of expression of a gene or set of genes.  The GTEx Project discovers eQTL by profiling SNPs and gene expression in many human tissue samples and testing for statistically significant associations between SNPs and differentially expressed genes.	significance values for all pairs of profiled genes and SNPs testing likelihood that SNP affects gene expression	gene-SNP associations by significance of regulation of gene expression by SNP	SNP	genomic feature	notspecified	notspecified	http://www.gtexportal.org/home/	javascript:portalClient.browseDatasets.downloadFile('Multi_tissue_eQTL_GTEx_Pilot_Phase_datasets.tar','http://www.gtexportal.org/static/datasets/gtex_analysis_pilot_data_2013_01_31/multi_tissue_eqtls/Multi_tissue_eQTL_GTEx_Pilot_Phase_datasets.tar');javascript:portalClient.browseDatasets.downloadFile('GTEx_genot_imputed_variants_info4_maf05_CR95_CHR_POSb37_ID_REF_ALT.txt.zip','http://www.gtexportal.org/static/datasets/gtex_analysis_2014_01_17/reference/GTEx_genot_imputed_variants_info4_maf05_CR95_CHR_POSb37_ID_REF_ALT.txt.zip')	javascript:portalClient.browseDatasets.downloadFile('README','http://www.gtexportal.org/static/datasets/gtex_analysis_pilot_data_2013_01_31/multi_tissue_eqtls/README')	notspecified	23715323	GTEx Consortium. (2013) The Genotype-Tissue Expression (GTEx) project. Nature Genetics. 45:580-585.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Genotype Tissue Expression (GTEx) Tissue mRnotspecified	The Genotype-Tissue Expression project is a genome mapping project that seeks to discover expression quantitative trait loci in the human genome.  Expression quantitative trait loci (eQTL) are regions of the genome where Dnotspecified sequence variation is correlated with variation of expression of a gene or set of genes.  The GTEx Project discovers eQTL by profiling SNPs and gene expression in many human tissue samples and testing for statistically significant associations between SNPs and differentially expressed genes.	mRnotspecified expression profiles for tissues measured by Rnotspecified-seq	gene-tissue associations by differential expression of gene across tissues	tissue	tissue or cell line	notspecified	notspecified	http://www.gtexportal.org/home/	javascript:portalClient.browseDatasets.downloadFile('GTEx_Analysis_2014-01-17_Rnotspecified-seq_Rnotspecified-SeQCv1.1.8_gene_rpkm.gct.gz','http://www.gtexportal.org/static/datasets/gtex_analysis_2014_01_17/rna_seq_data/GTEx_Analysis_2014-01-17_Rnotspecified-seq_Rnotspecified-SeQCv1.1.8_gene_rpkm.gct.gz');javascript:portalClient.browseDatasets.downloadFile('GTEx_Data_2014-01-17_Annotations_SampleAttributesDS.txt','http://www.gtexportal.org/static/datasets/gtex_analysis_2014_01_17/annotations/GTEx_Data_2014-01-17_Annotations_SampleAttributesDS.txt')	http://www.gtexportal.org/home/datasets2	notspecified	23715323	GTEx Consortium. (2013) The Genotype-Tissue Expression (GTEx) project. Nature Genetics. 45:580-585.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Genotype Tissue Expression (GTEx) Tissue Sample mRnotspecified	The Genotype-Tissue Expression project is a genome mapping project that seeks to discover expression quantitative trait loci in the human genome.  Expression quantitative trait loci (eQTL) are regions of the genome where Dnotspecified sequence variation is correlated with variation of expression of a gene or set of genes.  The GTEx Project discovers eQTL by profiling SNPs and gene expression in many human tissue samples and testing for statistically significant associations between SNPs and differentially expressed genes.	mRnotspecified expression profiles for tissue samples measured by Rnotspecified-seq	gene-tissue sample associations by differential expression of gene across tissue samples	tissue sample	tissue or cell line	notspecified	notspecified	http://www.gtexportal.org/home/	javascript:portalClient.browseDatasets.downloadFile('GTEx_Analysis_2014-01-17_Rnotspecified-seq_Rnotspecified-SeQCv1.1.8_gene_rpkm.gct.gz','http://www.gtexportal.org/static/datasets/gtex_analysis_2014_01_17/rna_seq_data/GTEx_Analysis_2014-01-17_Rnotspecified-seq_Rnotspecified-SeQCv1.1.8_gene_rpkm.gct.gz');javascript:portalClient.browseDatasets.downloadFile('GTEx_Data_2014-01-17_Annotations_SampleAttributesDS.txt','http://www.gtexportal.org/static/datasets/gtex_analysis_2014_01_17/annotations/GTEx_Data_2014-01-17_Annotations_SampleAttributesDS.txt')	http://www.gtexportal.org/home/datasets2	notspecified	23715323	GTEx Consortium. (2013) The Genotype-Tissue Expression (GTEx) project. Nature Genetics. 45:580-585.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Proteomics Database (ProteomicsDB)	Proteomics Database is a database of protein expression data for tissues and cell lines aggregated from many proteomics studies.	protein expression profiles for tissues and cell lines reprocessed from many proteomics datasets	gene-tissue/cell line associations by differential expression of protein across tissues and cell lines	tissue or cell line	tissue or cell line	notspecified	notspecified	https://www.proteomicsdb.org/	see notes	https://www.proteomicsdb.org/#api	notspecified	24870543	Wilhelm, M. et al. (2014) Mass-spectrometry-based draft of the human proteome. Nature. 509:582-587.	data were downloaded using the proteomicsdb api	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Human Proteome Map (HPM)	The Human Proteome Map is a database of protein expression data for tissues and cell lines measured by LC-MS/MS.	protein expression profiles for tissues and cell lines measured by mass spectrometry	gene-tissue/cell line associations by differential expression of protein across tissues and cell lines	tissue or cell line	tissue or cell line	notspecified	notspecified	http://www.humanproteomemap.org/	see notes	http://www.humanproteomemap.org/faqs.html	notspecified	24870542	Kim, M. S. et al. (2014) A draft map of the human proteome. Nature. 509:575-581.	must register for access	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
